customer_id,name,gender,age,city,signup_date
1,전예민,F,39.0,서울,2025-10-05
2,임지혁,M,63.0,대구,2023-09-20
3,이예우,F,34.0,서울,2025-01-22
4,황정진,M,25.0,울산,2025-03-13
5,조성혁,M,26.0,광주,2024-02-10
6,임정우,M,27.0,대구,2023-07-21
7,한예우,M,31.0,서울,2023-11-13
8,송혜미,F,28.0,대구,2026-05-11
9,조영성,M,65.0,울산,2025-01-13
10,김영빈,F,25.0,성남,2023-08-22
11,조예민,M,21.0,대구,2026-01-07
12,전수람,M,41.0,울산,2026-03-06
13,서지람,F,37.0,부산,2026-07-09
14,임서영,F,45.0,대구,2024-01-22
15,강수영,M,61.0,광주,2025-05-18
16,송채람,F,37.0,서울,2024-02-13
17,전진연,M,58.0,광주,2023-07-30
18,서하현,M,19.0,대전,2025-08-05
19,홍혜원,M,68.0,수원,2025-04-19
20,김성희,F,30.0,성남,2025-12-30
21,최채윤,M,51.0,인천,2023-08-07
22,강영민,F,28.0,부산,2024-06-28
23,권은민,F,66.0,부산,2024-03-20
24,신수혁,F,41.0,대구,2024-11-06
25,송재경,F,35.0,울산,2025-12-11
26,권혜혁,F,68.0,대구,2026-01-03
27,황정원,F,45.0,부산,2025-11-06
28,임민진,F,37.0,인천,2026-05-31
29,조하미,M,28.0,서울,2024-06-08
30,장서윤,M,63.0,울산,2026-07-15
31,전도영,F,18.0,대구,2023-12-24
32,전우수,F,25.0,성남,2026-01-31
33,권승윤,F,150.0,고양,2025-09-14
34,윤승수,M,54.0,광주,2026-06-09
35,강승윤,M,38.0,광주,2026-08-11
36,이채연,M,32.0,고양,2026-01-30
37,최현민,M,33.0,수원,2024-03-17
38,권우현,M,62.0,성남,2025-04-09
39,신진영,M,28.0,고양,2024-10-25
40,이영진,F,21.0,광주,2025-11-04
41,서유진,M,41.0,Unknown,2023-10-20
42,송혜진,M,36.0,대구,2025-11-24
43,안은주,M,39.0,부산,2025-11-16
44,장지준,F,68.0,울산,2025-03-10
45,신준민,M,48.0,인천,2024-04-02
46,조우혁,F,62.0,부산,2025-11-02
47,박성원,F,67.0,수원,2025-01-31
48,홍하준,M,24.0,광주,2023-09-28
49,송수준,M,54.0,인천,2025-04-01
50,황우혁,F,20.0,울산,2025-10-12
51,윤민현,M,25.0,부산,2025-07-05
52,박유현,F,64.0,울산,2026-03-14
53,안정수,M,41.0,서울,2025-08-20
54,임민연,F,39.0,대구,2023-10-31
55,장유미,M,61.0,부산,2024-11-20
56,오채연,F,67.0,서울,2025-02-19
57,최민민,M,53.0,인천,2026-01-03
58,권우원,M,33.0,서울,2026-01-26
59,신은진,M,47.0,부산,2025-10-07
60,오지혁,M,26.0,부산,2026-04-08
61,임현우,M,58.0,고양,2025-07-19
62,김우주,F,62.0,울산,2026-05-28
63,오예우,M,30.0,성남,2024-08-20
64,조채수,M,69.0,대구,2025-04-26
65,오수민,M,62.0,광주,
66,김우진,M,54.0,울산,2025-03-26
67,정성주,F,21.0,울산,2026-05-06
68,오유람,F,40.0,인천,2026-02-24
69,송하준,M,59.0,성남,2025-06-06
70,윤수윤,M,53.0,대구,2025-09-28
71,장승성,M,36.0,광주,2024-02-18
72,조진성,M,18.0,울산,2023-11-12
73,황혜주,F,47.0,수원,2024-01-17
74,홍정호,F,27.0,부산,2023-08-26
75,강예미,F,32.0,울산,2023-08-19
76,서승민,M,44.0,서울,2025-02-13
77,윤은빈,M,28.0,서울,2026-05-06
78,신서윤,M,47.0,부산,2025-09-08
79,임수람,F,55.0,부산,2024-09-28
80,송예진,M,30.0,광주,2023-08-16
81,강예미,F,64.0,광주,2025-01-25
82,장서원,M,56.0,수원,2025-11-22
83,이우호,F,43.0,서울,2025-11-02
84,장도성,M,42.0,성남,2025-09-29
85,윤도호,M,33.0,부산,2023-10-05
86,황지경,F,22.0,부산,2023-12-24
87,정성주,M,51.0,부산,2026-03-30
88,김정민,M,41.0,대구,2026-08-24
89,안정성,M,68.0,Unknown,2025-06-21
90,윤서미,F,57.0,수원,2024-09-22
91,오수경,M,59.0,광주,2023-11-13
92,강영원,F,25.0,광주,2025-01-04
93,윤도우,M,18.0,울산,2025-01-26
94,전유우,F,27.0,인천,2024-08-14
95,신현주,M,49.0,인천,2023-10-20
96,이성주,F,36.0,울산,2026-06-20
97,박지준,F,41.0,부산,2024-12-26
98,정재람,M,47.0,광주,2025-03-15
99,오우진,F,51.0,인천,2024-06-22
100,권예람,M,57.0,광주,2025-07-03
101,최혜영,M,41.0,수원,2024-04-11
102,홍채영,M,45.0,부산,2023-10-18
103,윤현빈,F,23.0,대구,2025-05-16
104,윤혜원,F,38.0,서울,2025-08-31
105,임은미,F,24.0,광주,2025-09-13
106,신하주,F,63.0,고양,2023-08-05
107,신유경,M,55.0,울산,2026-02-22
108,최채현,M,56.0,대전,2024-07-20
109,홍민아,M,34.0,성남,
110,박승희,F,45.0,성남,2025-04-05
111,이승민,M,49.0,부산,2023-09-04
112,권하우,F,40.0,인천,2023-08-13
113,장예준,F,63.0,부산,2025-06-13
114,한하호,F,35.0,대구,2026-02-16
115,박승윤,F,47.0,수원,2025-12-24
116,강예호,F,65.0,광주,2026-07-24
117,신예경,M,21.0,인천,2023-09-08
118,최혜현,M,30.0,대전,2025-05-21
119,서성미,M,20.0,인천,2024-01-26
120,윤서영,F,41.0,부산,2024-04-15
121,전예혁,F,41.0,광주,2023-12-26
122,임현주,F,38.0,대구,2025-05-23
123,정지현,F,66.0,대구,2024-02-29
124,전민원,F,26.0,대구,2025-01-07
125,송하준,F,28.0,부산,2023-10-19
126,신승민,F,53.0,고양,2025-12-03
127,임지진,F,49.0,부산,2025-11-10
128,황성람,M,23.0,울산,2025-08-14
129,최성미,M,52.0,인천,2024-01-03
130,신준미,F,68.0,수원,2025-09-02
131,장유주,M,67.0,대구,2025-11-21
132,김준현,M,62.0,인천,2025-09-02
133,이민우,F,20.0,광주,2024-04-23
134,장준희,M,56.0,대전,2025-06-09
135,안예원,M,41.0,광주,2025-11-30
136,한영주,F,22.0,고양,2025-11-16
137,최유원,F,33.0,서울,2026-02-06
138,장지호,F,58.0,서울,2023-12-02
139,윤은준,F,61.0,대구,2026-05-03
140,강우연,M,68.0,광주,2025-09-04
141,서민현,M,18.0,서울,2026-01-23
142,정채경,F,41.0,인천,2023-11-09
143,전하수,M,33.0,대전,2023-10-01
144,조우호,F,90.0,인천,2024-03-13
145,황지민,M,32.0,서울,2025-02-15
146,임현미,M,62.0,대구,2024-01-04
147,박우원,M,42.0,고양,2023-11-19
148,홍채원,F,56.0,서울,2026-04-10
149,김유람,M,32.0,서울,2025-03-23
150,장재민,F,37.0,수원,2024-03-19
